U60231MZ2000PTC006158,MIZORAM ROAD TRANSPORT COMPANY PRIVATE LIMITED  ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,11-05-00,Mizoram,500000,20000,60231,LOWER ZARKOWTAIZWAL   MIZORAM IN796007, ,0,0
U60210MZ1971PTC001346,MIZO TRANSPORT CO PVT LTD   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,29-06-71,Mizoram,100000,300,60210,BARA BAZARAIZAWL   MIZORAM IN0, ,0,0
U52393MZ2016PTC013299,L&L GEMS AND JEWELLERY PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,ACTIVE,14-09-16,Mizoram,100000,100000,52393,H.No. A-168Luangmual West  AizawlAizawlIN796009,drmawia@yahoo.com,0,0
U52100MZ2013SGC008274,MIZORAM DIRECT MARKETING LIMITED   ,Public,Company limited by Shares,State Govt company,STRUCK-OFF,11-03-13,Mizoram,1000000,500000,52100,"T-5/D, Ist FLOORTUIKHUAHTLANG  AIZAWLAizawlIN796001",miz.directmarketing@gmail.com,0,0
U51909MZ2013PTC008272,MIZO LIFE STYLE MARKETING PRIVATELIMITED  ,Private,Company limited by Shares,Non-govt company,ACTIVE,31-01-13,Mizoram,100000,100000,51909,"T-5/B, IIIrd FLOORTUIKHUAHTLANG  AIZAWLAizawlIN796001",gunasekaran@rmpadmin.com,31-03-16,31-03-16
U51909MZ2012PTC008270,KING TRADING PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,ACTIVE,20-03-12,Mizoram,10500000,100000,51909,E-29CHANMARI  AIZAWLAizawlIN796007,gauraf_14@yahoo.com,31-03-15,31-03-15
U51909MZ2009PTC008254,PENIEL ENTERPRISES PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,UNDER PROCESS OF STRUCK-OFF,15-10-09,Mizoram,1000000,100000,51909,"T-37, TUIKHUAHTLANG   AIZAWLAizawlIN796001",akansanju@gmail.com,0,0
U29219MZ1995PTC004626,KOLODYNE KOMBINE PVT LTD   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,05-12-95,Mizoram,1000000,30000,29219,JUIKHUAHTLANGAIZAWAL   MIZORAM IN0, ,0,0
U52599MZ2014PTC008280,ZOLAND PALI TRADERS PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,ACTIVE,08-12-14,Mizoram,100000,100000,52599,29 kahrawt vengB C Lalthlamuana Building  champaiChamphaiIN796321,rchullova@yahoo.in,0,0
U52590MZ2010PTC008257,HONEYCOMB AGENCIES AND MARKETING PRIVATE LIMITED  ,Private,Company limited by Shares,Non-govt company,ACTIVE,29-03-10,Mizoram,500000,500000,52590,BHAGWATI COMPLEXCANTEEN SQUARE  AIZAWLAizawlIN796001,birmiwal.clients@yahoo.in,31-03-12,0
U52520MZ2016OPC013291,PS (OPC) PRIVATE LIMITED   ,Private(One Person Company),Company limited by Shares,Non-govt company,ACTIVE,19-04-16,Mizoram,100000,100000,52520,"House No. 225,Champhai Vengthar  ChamphaiChamphaiIN796321",pszatluanga@gmail.com,0,0
U45202MZ2011PTC008263,ZORPI INFRASTRUCTURE PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,ACTIVE,09-05-11,Mizoram,2000000,100000,45202,"HOUSE NO. B-6, UPPER REPUBLICPO:AIZAWL  AIZAWL IN796001",zipproject@zorpi.in,31-03-14,31-03-14
U45202MZ2008PTC008250,JR BUILDERS AND CONSTRUCTIONS PRIVATE LIMITED  ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,01-10-08,Mizoram,2000000,0,45202,ZALAWMA BUILDINGZARKAWT  AIZAWLAizawlIN796001,shy_loveuall@yahoo.com,0,0
U45202MZ2008PTC008238,LUSHAI ENGINEERS PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,17-03-08,Mizoram,1000000,100000,45202,"C/O V. NEIHKUNGA BUILDINGCANTEEN SQ, DAWRPUI  AIZAWLAizawlIN796001",mcpuia@gmail.com,31-03-09,0
U45202MZ2005PTC007690,L & V ENGINEERING PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,28-03-05,Mizoram,500000,100000,45202,TUIKUAL HOUSE NO  B30AIZWAL   MIZORAM IN796001, ,0,0
U51109MZ1998PLC005310,ZORAM AGROFARM INDUSTRIES LIMITED   ,Public,Company limited by Shares,Non-govt company,STRUCK-OFF,21-01-98,Mizoram,500000,7000,51109,C O DR  SAMTE VUNGZALIANTUIKUAL  A AIZWALDIST AIZWAL.  MIZORAM IN0, ,0,0
U51505MZ2008PTC008249,LIMA TRADING PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,22-08-08,Mizoram,1000000,0,51505,"C/O K C THAKURI BUILDINGNEAR AIZAWL WATCH HOUSE BAZAR BUNGKAWN, DAWRPUI  AIZAWLAizawlIN796001",kh_randall8@yahoo.com,0,0
U51431MZ2008PTC008248,NIAGARA TIMBER PRODUCTS PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,UNDER PROCESS OF STRUCK-OFF,11-07-08,Mizoram,1000000,100000,51431,"CHALLIANNGURA BUILDING5TH FLOOR, NEAR VANAPA HALL, TREASURY SQRS  AIZAWLAizawlIN796001",josethomasca@gmail.com,31-03-11,31-03-11
U55101MZ2005PTC007647,HRANGBANA RESORT PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,01-02-05,Mizoram,500000,100000,55101,"D-4/A,CHANDMARI,DIST: AIZAWL  AIZAWL IN796007", ,0,0
U55101MZ2001PTC006593,MIZORAM GRAND HOTEL PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,23-08-01,Mizoram,500000,100000,55101,CHANDMARY VENGAIZAWL   MIZORAM IN0, ,0,0
U55101MZ1984PTC002211,MOONLIGHT HOTEL PVT LTD   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,17-08-84,Mizoram,3500000,1130000,55101,    AIZAWL IN, ,0,0
U45201MZ2015PTC008284,ZOCONS CIVIL ENGINEERING PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,ACTIVE,15-06-15,Mizoram,100000,100000,45201,"A-33,2nd Floor Zachhunga Building Opposite AbigailLowerZarkawt,  AizawlAizawlIN796001",ela075@gmail.com,0,0
U45201MZ2014PLC008277,MIZORAM INFRASTRUCTURE DEVELOPMENTCOMPANY LIMITED  ,Public,Company limited by Shares,Non-govt company,ACTIVE,25-03-14,Mizoram,500000,500000,45201,"C/O ZORAM INDUSTRIAL DEVELOPMENT CORPORATION LTD.NEW SECRETARIAT COMPLEX, KHATLA  AIZAWLAizawlIN796001",lalit.khetan@spml.co.in,31-03-15,31-03-15
U45201MZ2011PTC008267,ROYTE DEVELOPERS PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,ACTIVE,10-08-11,Mizoram,2500000,100000,45201,"THLANG TIANG BUILDINGHOUSE NO 188/W-22, DAWRPUI WEST  AIZAWL IN796001",robertroyte@yahoo.com,31-03-15,31-03-15
U45201MZ2005PTC007837,LIANDO CONSTRUCTION PRIVATE LIMITED   ,Private,Company limited by Shares,Non-govt company,STRUCK-OFF,03-08-05,Mizoram,500000,103500,45201,VENGHLUIDIST  AIZAWL   MIZORAM IN796001, ,0,0
U45201MZ1990PTC003417,MIZORAM ELITE CONSTRUCTION COMPANY PVTLTD  ,Private,Company limited by Shares,Non-govt company,ACTIVE,01-03-90,Mizoram,3000000,2990000,45201,KANAN VENG   AIZAWL IN796009,hsa.roc@gmail.com,31-03-14,31-03-14
U27310MZ2016PTC013297,SIHHMUI THILTHA FERRO INDUSTRY PRIVATELIMITED  ,Private,Company limited by Shares,Non-govt company,ACTIVE,29-07-16,Mizoram,100000,100000,27310,Tuikhuahtlang   AizawlAizawlIN796001,amungvigil@gmail.com,0,0
